Luke 23

1 -
2 -
3 -
4 -
5 -
6 -
7 -
8 -
9 -
10 -
11 -
12 -
13 -
14 -
15 -
16 -
17 -
18 -
19 -
20 -
21 -
22 -
23 -
24 -
25 -
26 -
27 -
28 -
29 -
30 -
31 -
32 -
33 -
34 -
35 -
36 -
37 -
38  different, length same at 120; different word(s): (THIS - This) (IS - Is) (THE - The) (KING - King) (OF - Of) (THE - The) (JEWS. - Jews.)
39 -
40 -
41 -
42 -
43  different, lengths different;  Gutenberg (length=90): And Jesus said unto him, Verily I say unto thee, To day shalt thou be with me in paradise.; Biblegateway (length=89): And Jesus said unto him, Verily I say unto thee, Today shalt thou be with me in paradise.
44 -
45 -
46 -
47 -
48 -
49 -
50 -
51 -
52 -
53 -
54 -
55 -
56 -
